Timestamp,Relative Time (s),Stress Probability (%),Latency (ms)
2025-06-18 12:47:10.062,20.482,90.62,59.49
2025-06-18 12:47:10.164,20.584,90.87,49.81
2025-06-18 12:47:10.272,20.692,91.44,57.09
2025-06-18 12:47:10.372,20.792,93.05,47.90
2025-06-18 12:47:10.475,20.895,93.32,52.08
2025-06-18 12:47:10.575,20.995,92.20,48.84
2025-06-18 12:47:10.675,21.096,93.45,49.26
2025-06-18 12:47:10.776,21.196,92.65,49.16
2025-06-18 12:47:10.874,21.294,91.26,46.81
2025-06-18 12:47:10.988,21.409,90.15,62.64
2025-06-18 12:47:11.101,21.521,90.57,62.11
2025-06-18 12:47:11.212,21.632,91.00,60.72
2025-06-18 12:47:11.332,21.752,90.80,68.72
2025-06-18 12:47:11.457,21.877,92.49,73.07
2025-06-18 12:47:11.559,21.978,92.48,49.78
2025-06-18 12:47:11.659,22.080,93.30,49.56
2025-06-18 12:47:11.755,22.176,92.79,44.88
2025-06-18 12:47:11.860,22.280,92.09,53.00
2025-06-18 12:47:11.974,22.394,91.69,59.30
2025-06-18 12:47:12.071,22.491,91.84,45.85
2025-06-18 12:47:12.171,22.591,91.52,48.48
2025-06-18 12:47:12.281,22.701,90.40,58.51
2025-06-18 12:47:12.387,22.807,91.87,55.11
2025-06-18 12:47:12.487,22.907,93.57,48.52
2025-06-18 12:47:12.600,23.021,94.50,62.01
2025-06-18 12:47:12.712,23.132,93.30,60.33
2025-06-18 12:47:12.821,23.241,93.59,57.17
2025-06-18 12:47:12.925,23.345,93.20,52.43
2025-06-18 12:47:13.023,23.444,90.49,47.29
2025-06-18 12:47:13.124,23.544,90.80,48.72
2025-06-18 12:47:13.234,23.654,91.40,58.99
2025-06-18 12:47:13.329,23.749,91.49,44.44
2025-06-18 12:47:13.427,23.848,92.44,46.73
2025-06-18 12:47:13.523,23.943,93.46,44.56
2025-06-18 12:47:13.618,24.038,93.15,43.10
2025-06-18 12:47:13.724,24.144,94.62,54.76
2025-06-18 12:47:13.825,24.245,95.63,50.21
2025-06-18 12:47:13.925,24.345,91.76,49.25
2025-06-18 12:47:14.022,24.442,91.50,46.36
2025-06-18 12:47:14.118,24.538,90.92,44.62
2025-06-18 12:47:14.212,24.632,90.97,43.51
2025-06-18 12:47:14.317,24.737,91.36,52.68
2025-06-18 12:47:14.412,24.832,92.33,43.86
2025-06-18 12:47:14.511,24.931,93.64,47.50
2025-06-18 12:47:14.610,25.030,93.72,48.08
2025-06-18 12:47:14.710,25.130,94.37,48.59
2025-06-18 12:47:14.807,25.227,94.10,46.73
2025-06-18 12:47:14.904,25.324,94.28,45.10
2025-06-18 12:47:15.002,25.422,93.39,46.65
2025-06-18 12:47:15.097,25.517,92.21,43.77
2025-06-18 12:47:15.201,25.620,92.71,51.48
2025-06-18 12:47:15.298,25.718,92.51,46.38
2025-06-18 12:47:15.394,25.815,92.62,45.06
2025-06-18 12:47:15.491,25.911,93.41,45.46
2025-06-18 12:47:15.590,26.010,94.29,48.15
2025-06-18 12:47:15.685,26.105,94.79,44.03
2025-06-18 12:47:15.783,26.203,93.90,47.22
2025-06-18 12:47:15.883,26.303,94.76,48.52
2025-06-18 12:47:15.979,26.399,93.73,44.95
2025-06-18 12:47:16.083,26.504,91.46,53.01
2025-06-18 12:47:16.179,26.599,91.63,44.61
2025-06-18 12:47:16.275,26.695,91.37,44.39
2025-06-18 12:47:16.372,26.792,91.26,43.89
2025-06-18 12:47:16.474,26.894,91.83,50.38
2025-06-18 12:47:16.571,26.991,93.35,46.36
2025-06-18 12:47:16.666,27.086,93.96,42.76
2025-06-18 12:47:16.768,27.189,94.49,51.58
2025-06-18 12:47:16.865,27.285,94.73,45.21
2025-06-18 12:47:16.961,27.381,93.87,45.41
2025-06-18 12:47:17.057,27.477,93.29,44.14
2025-06-18 12:47:17.174,27.594,91.90,66.05
2025-06-18 12:47:17.274,27.694,91.77,49.18
2025-06-18 12:47:17.384,27.804,92.17,59.08
2025-06-18 12:47:17.493,27.913,92.84,57.94
2025-06-18 12:47:17.587,28.007,95.15,43.51
2025-06-18 12:47:17.682,28.102,96.26,43.95
2025-06-18 12:47:17.780,28.200,93.89,47.47
2025-06-18 12:47:17.877,28.298,94.19,45.76
2025-06-18 12:47:17.976,28.396,94.40,48.12
2025-06-18 12:47:18.079,28.499,93.73,52.28
2025-06-18 12:47:18.176,28.596,93.17,45.54
2025-06-18 12:47:18.286,28.705,92.20,57.57
2025-06-18 12:47:18.381,28.801,92.91,45.02
2025-06-18 12:47:18.476,28.896,93.98,43.93
2025-06-18 12:47:18.572,28.992,95.13,45.47
2025-06-18 12:47:18.668,29.088,94.83,44.67
2025-06-18 12:47:18.776,29.196,95.67,52.39
2025-06-18 12:47:18.877,29.297,95.59,49.80
2025-06-18 12:47:18.989,29.409,95.43,60.83
2025-06-18 12:47:19.084,29.504,94.91,43.68
2025-06-18 12:47:19.188,29.608,93.30,52.52
2025-06-18 12:47:19.296,29.717,93.33,57.27
2025-06-18 12:47:19.402,29.822,93.63,54.59
2025-06-18 12:47:19.499,29.919,94.53,45.65
2025-06-18 12:47:19.597,30.017,94.85,46.93
2025-06-18 12:47:19.698,30.118,95.30,50.32
2025-06-18 12:47:19.794,30.214,95.67,45.31
2025-06-18 12:47:19.903,30.322,96.26,54.49
2025-06-18 12:47:19.999,30.419,95.68,45.06
2025-06-18 12:47:20.105,30.526,95.18,54.97
2025-06-18 12:47:20.202,30.622,94.19,45.28
2025-06-18 12:47:20.312,30.732,93.81,58.30
2025-06-18 12:47:20.408,30.828,94.02,45.33
2025-06-18 12:47:20.511,30.931,94.05,52.10
2025-06-18 12:47:20.612,31.032,94.67,49.22
2025-06-18 12:47:20.716,31.137,95.34,52.53
2025-06-18 12:47:20.811,31.231,95.71,44.04
2025-06-18 12:47:20.907,31.327,95.75,44.76
2025-06-18 12:47:21.014,31.434,96.33,55.40
2025-06-18 12:47:21.113,31.533,95.83,48.01
2025-06-18 12:47:21.222,31.642,95.06,56.85
2025-06-18 12:47:21.318,31.739,94.03,45.25
2025-06-18 12:47:21.417,31.837,94.68,47.56
2025-06-18 12:47:21.514,31.935,94.00,45.98
