Timestamp,Stress Probability (%),Key Pressed,Latency (ms)
13:05:2025:23:13:52,0.00%,Space,49.999
13:05:2025:23:13:52,0.12%,Space,45.821
13:05:2025:23:13:52,0.61%,Space,46.505
13:05:2025:23:13:52,0.66%,Space,44.917
13:05:2025:23:13:52,0.65%,Space,51.804
13:05:2025:23:13:52,0.52%,Space,50.445
13:05:2025:23:13:52,0.00%,Space,44.111
13:05:2025:23:13:52,22.49%,Space,43.956
13:05:2025:23:13:52,0.00%,Space,52.897
13:05:2025:23:13:52,0.00%,Space,47.470
13:05:2025:23:13:52,0.00%,Space,58.902
13:05:2025:23:13:52,0.04%,Space,51.997
13:05:2025:23:13:52,0.48%,Space,46.592
13:05:2025:23:13:52,0.68%,Space,47.618
13:05:2025:23:13:52,0.61%,Space,49.381
13:05:2025:23:13:52,0.60%,Space,51.077
13:05:2025:23:13:52,0.00%,Space,45.847
13:05:2025:23:13:52,7.58%,Space,48.267
13:05:2025:23:13:52,0.09%,Space,47.891
13:05:2025:23:13:52,0.00%,Space,52.311
13:05:2025:23:13:52,0.00%,Space,47.564
13:05:2025:23:13:52,0.01%,Space,54.580
13:05:2025:23:13:52,0.11%,Space,48.428
13:05:2025:23:13:52,0.71%,Space,62.939
13:05:2025:23:13:52,0.61%,Space,53.536
13:05:2025:23:13:52,0.64%,Space,44.599
13:05:2025:23:13:52,0.00%,Space,44.554
13:05:2025:23:13:52,63.12%,W,50.189
13:05:2025:23:13:52,67.14%,,45.408
13:05:2025:23:13:52,0.00%,Space,48.138
13:05:2025:23:13:52,0.00%,Space,49.525
13:05:2025:23:13:52,0.00%,Space,50.909
13:05:2025:23:13:52,0.23%,Space,46.511
13:05:2025:23:13:52,0.67%,Space,46.819
13:05:2025:23:13:52,0.63%,Space,47.020
13:05:2025:23:13:52,0.69%,Space,49.141
13:05:2025:23:13:52,0.00%,Space,52.621
13:05:2025:23:13:52,0.00%,Space,46.710
13:05:2025:23:13:52,97.83%,W,44.902
13:05:2025:23:13:52,0.00%,Space,46.628
13:05:2025:23:13:52,0.04%,Space,50.569
13:05:2025:23:13:52,0.00%,Space,51.813
13:05:2025:23:13:52,0.14%,Space,45.787
13:05:2025:23:13:52,0.56%,Space,48.180
13:05:2025:23:13:52,0.67%,Space,45.393
13:05:2025:23:13:52,0.68%,Space,44.180
13:05:2025:23:13:52,0.51%,Space,52.927
13:05:2025:23:13:52,0.00%,Space,45.448
13:05:2025:23:13:52,24.76%,Space,46.714
13:05:2025:23:13:52,0.00%,Space,67.558
13:05:2025:23:13:52,0.00%,Space,47.932
13:05:2025:23:13:52,0.00%,Space,46.350
13:05:2025:23:13:52,0.06%,Space,51.295
13:05:2025:23:13:52,0.42%,Space,50.946
13:05:2025:23:13:52,0.69%,Space,48.485
13:05:2025:23:13:52,0.64%,Space,56.811
13:05:2025:23:13:52,0.55%,Space,46.266
13:05:2025:23:13:52,0.00%,Space,49.192
13:05:2025:23:13:52,7.63%,Space,50.072
13:05:2025:23:13:52,2.70%,Space,47.764
13:05:2025:23:13:52,0.00%,Space,51.710
13:05:2025:23:13:52,0.00%,Space,49.559
13:05:2025:23:13:52,0.01%,Space,60.005
13:05:2025:23:13:52,0.10%,Space,45.915
13:05:2025:23:13:52,0.70%,Space,48.954
13:05:2025:23:13:52,0.60%,Space,48.207
13:05:2025:23:13:52,0.68%,Space,56.207
13:05:2025:23:13:52,0.00%,Space,49.726
13:05:2025:23:13:52,60.26%,W,48.445
13:05:2025:23:13:52,87.65%,,46.005
13:05:2025:23:13:52,0.00%,Space,46.750
13:05:2025:23:13:52,0.00%,Space,51.599
13:05:2025:23:13:52,0.02%,Space,55.610
13:05:2025:23:13:52,0.09%,Space,56.952
13:05:2025:23:13:52,0.66%,Space,57.514
